ID,Customer_Age_scaled,Customer_Tenure_Days_scaled,Recency_scaled,Total_Purchases_scaled,Digital_Engagement_scaled,Deal_Dependency_scaled,Income_log_scaled,Total_Spending_log_scaled,Avg_Spending_Per_Purchase_log_scaled,MntWines_log_scaled,MntFruits_log_scaled,MntMeatProducts_log_scaled,MntFishProducts_log_scaled,MntSweetProducts_log_scaled,MntGoldProds_log_scaled,Total_Children_scaled,Family_Size_scaled,Total_Campaign_Acceptance_scaled,NumDealsPurchases_scaled,NumWebPurchases_scaled,NumCatalogPurchases_scaled,NumStorePurchases_scaled,NumWebVisitsMonth_scaled,Education_Encoded_scaled,Customer_Activity_Level_Encoded_scaled,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Preferred_Shopping_Channel_Catalog,Preferred_Shopping_Channel_Deals,Preferred_Shopping_Channel_None,Preferred_Shopping_Channel_Store,Preferred_Shopping_Channel_Web,Product_Preference_Fish,Product_Preference_Fruits,Product_Preference_Gold,Product_Preference_Meat,Product_Preference_Sweets,Product_Preference_Wines
5524,0.7222222222222222,0.882183908045977,0.18,0.7692307692307693,1.5,-0.2696296296296296,0.18931337139047458,0.5195593751608556,0.6737795444066993,0.4293243030799417,0.8087678244220687,0.7964401784031099,1.0168180866247318,0.8087678244220687,0.7295519805090722,-1.0,-2.0,1.0,0.5,1.0,2.0,-0.2,0.25,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2174,0.8888888888888888,-0.6982758620689655,-0.22,-0.6923076923076923,-0.75,0.9629629629629629,-0.15765665527776215,-0.9805853917736835,-1.0104600024643449,-0.8916042300028858,-0.5308733279587541,-0.8685062832737553,-0.576043627965019,-0.5308733279587541,-0.731393516412085,1.0,0.0,0.0,0.0,-0.75,-0.25,-0.6,-0.25,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
4141,0.2777777777777778,-0.12643678160919541,-0.46,0.46153846153846156,0.75,-0.6878306878306878,0.5083245056758617,0.2483158698657138,0.30130998986620444,0.29677053658200475,0.6052486063887117,0.2416213964965861,0.846011808166154,0.3154784929617928,0.31159714487129303,-1.0,-1.0,0.0,-0.5,1.0,0.0,1.0,-0.5,0.0,0.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
6182,-0.7777777777777778,-0.6235632183908046,-0.46,-0.5384615384615384,-0.25,0.48148148148148157,-1.0046186038820795,-0.7377145154049668,-0.7886034654472479,-0.8916042300028858,-0.20746290290324726,-0.448840246502505,-0.06562641226476575,-0.2862227858405282,-0.8199621321402158,0.0,0.0,0.0,0.0,-0.5,-0.5,-0.2,0.0,0.0,0.5,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
5324,-0.6111111111111112,-0.5603448275862069,0.9,0.3076923076923077,0.25,0.557504873294347,0.1933879406011272,0.0234579967463868,-0.03262931271112395,-0.0019066133931049845,0.5601290350800188,0.2137712660416344,0.5048840918141492,0.40059811775913484,-0.25641814192069373,0.0,0.0,0.0,1.5,0.25,0.25,0.2,-0.25,2.0,-0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
7446,0.16666666666666666,-0.1810344827586207,-0.66,0.5384615384615384,0.75,-0.43771043771043766,0.3003474309597276,0.21859783232816687,0.21748609264618157,0.3629671563558302,0.5520147438379108,0.14348252050682764,-1.007628303794069,0.5520147438379108,-0.2934993113628321,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
965,-0.05555555555555555,0.6810344827586207,-0.3,0.46153846153846156,1.0,0.13756613756613756,0.12196766454987966,0.14713217296257322,0.12082963024151103,0.09949348299904068,0.7032404280002826,0.33861611515009493,0.5369709225380106,0.6052486063887117,0.06511398322198858,0.0,-1.0,0.0,1.0,0.75,0.25,0.4,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6177,-0.8333333333333334,0.1752873563218391,-0.34,-0.38461538461538464,0.75,0.1925925925925927,-0.6564221487920628,-0.3136333730768812,-0.20906720887369978,-0.27314279653681545,0.07082795084356677,-0.06740573948219951,-0.4630290774619893,-0.5308733279587541,-0.02345463250614205,0.0,0.0,0.0,0.0,0.0,-0.5,-0.2,0.5,2.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4855,-0.2222222222222222,0.09195402298850575,-0.6,-0.6923076923076923,0.75,0.0,-0.8053863796083087,-0.7890549229015935,-0.7016413337602555,-0.8173636728039921,-0.7755238700769802,-0.38223786481114475,-0.4630290774619893,-0.2862227858405282,-1.2182158819572526,0.0,0.0,1.0,-0.5,-0.25,-0.5,-0.6,0.75,2.0,0.5,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
5899,1.1111111111111112,-0.7126436781609196,0.38,-1.0,3.0,1.9259259259259263,-3.378522222284785,-0.7661739823514333,0.0312568793480148,-0.5980305908885469,-0.7755238700769802,-0.8685062832737553,-0.7353286906280291,-0.5308733279587541,-0.3331397665950483,1.0,1.0,1.0,-0.5,-0.75,-0.5,-1.0,3.5,2.0,-0.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
